name,country,role,batting_style,bowling_style,image
Arshad Khan,India,Batter,Right-hand Bat,,gt_jersey.jpg
Shahrukh Khan,India,Batter,Right-hand Bat,,gt_jersey.jpg
Glenn Phillips,New Zealand,Wicket Keeper,Right-hand Bat,Offbreak,gt_jersey.jpg
Shreyas Iyer,India,Batter,Right-hand Bat,,shreyas.jpg
Arshdeep Singh,India,Batter,Right-hand Bat,,pbks_jersey.jpg
Yuzvendra Chahal,India,Batter,Right-hand Bat,,pbks_jersey.jpg
Marcus Stoinis,Australia,All Rounder,Right-hand Bat,Right-arm Medium,pbks_jersey.jpg
Marco Jansen,South Africa,All Rounder,Left-hand Bat,Left-arm Fast,pbks_jersey.jpg
Glenn Maxwell,Australia,All Rounder,Right-hand Bat,Offbreak,pbks_jersey.jpg
Prabhsimran Singh,India,Batter,Right-hand Bat,,pbks_jersey.jpg
Josh Inglis,Australia,Wicket Keeper,Right-hand Bat,,pbks_jersey.jpg
Nehal Wadhera,India,Batter,Right-hand Bat,,pbks_jersey.jpg
Azmatullah Omarzai,Afghanistan,All Rounder,Right-hand Bat,Right-arm Medium Fast,pbks_jersey.jpg
Harpreet Brar,India,Batter,Right-hand Bat,,pbks_jersey.jpg
Vijaykumar Vyshak,India,Batter,Right-hand Bat,,pbks_jersey.jpg
Lockie Ferguson,New Zealand,Bowler,Right-hand Bat,Right-arm Fast,pbks_jersey.jpg
Priyansh Arya,India,Batter,Right-hand Bat,,priyansh.jpg
Yash Thakur,India,Batter,Right-hand Bat,,pbks_jersey.jpg
Rishabh Pant,India,Batter,Right-hand Bat,,rishab.jpg
Nicholas Pooran,West Indies,Wicket Keeper,Left-hand Bat,,lsg_jersey.jpg
Aiden Markram,South Africa,All Rounder,Right-hand Bat,Offbreak,lsg_jersey.jpg
Mitchell Marsh,Australia,All Rounder,Right-hand Bat,Right-arm Medium Fast,lsg_jersey.jpg
David Miller,South Africa,Batter,Left-hand Bat,,lsg_jersey.jpg
Abdul Samad,India,Batter,Right-hand Bat,,lsg_jersey.jpg
Ayush Badoni,India,Batter,Right-hand Bat,,lsg_jersey.jpg
Shardul Thakur,India,Batter,Right-hand Bat,,lsg_jersey.jpg
Avesh Khan,India,Batter,Right-hand Bat,,lsg_jersey.jpg
Akash Deep,India,Batter,Right-hand Bat,,lsg_jersey.jpg
Digvesh Rathi,India,Batter,Right-hand Bat,,lsg_jersey.jpg
Prince Yadav,India,Batter,Right-hand Bat,,lsg_jersey.jpg
Ravi Bishnoi,India,Batter,Right-hand Bat,,lsg_jersey.jpg
Matthew Breetzke,South Africa,Batter,Right-hand Bat,,lsg_jersey.jpg
Mohsin Khan,India,Batter,Right-hand Bat,,lsg_jersey.jpg
